Ticker,period,close,perc_change,close_wig,perc_change_wig,Assets,Number of shares,Market_value
4FM,31/03/2019,11.2,-0.05,59668.03,0.03,41503000,"4,238,962",47476374.4
4FM,31/12/2018,11.75,-0.21,57690.5,-0.02,41278000,"4,238,962",49807803.5
4FM,30/09/2018,14.9,0.03,58974.76,0.05,41467000,"4,119,374",61378672.6
4FM,30/06/2018,14.5,0.47,55954.44,-0.04,39586000,"4,119,374",59730923
4FM,31/03/2018,9.9,0.08,58377.42,-0.08,39872000,"4,119,374",40781802.6
4FM,31/12/2017,9.17,0.13,63746.2,-0.01,39134000,"4,119,374",37774659.58
4FM,30/09/2017,8.15,0.36,64289.69,0.05,39421000,"4,119,374",33572898.1
4FM,30/06/2017,5.99,0.21,61018.36,0.05,38626000,"4,119,374",24675050.26
4FM,31/03/2017,4.96,0.02,57911.31,0.12,36634000,"4,119,374",20432095.04
4FM,31/12/2016,4.86,0.04,51754.03,0.1,36917000,"4,119,374",20020157.64
4FM,30/09/2016,4.66,-0.04,47084.94,0.05,37042000,"4,063,500",18935910
4FM,30/06/2016,4.84,0.07,44748.53,-0.09,37810000,"4,063,500",19667340
4FM,31/03/2016,4.54,-0.12,49017.35,0.05,36797000,"4,063,500",18448290
4FM,31/12/2015,5.14,0.31,46467.38,-0.07,36097000,"4,063,500",20886390
4FM,30/09/2015,3.93,0.24,49824.59,-0.07,33771000,"4,063,500",15969555
4FM,30/06/2015,3.16,-0.31,53328.98,-0.01,33079000,"4,063,500",12840660
4FM,31/03/2015,4.56,-0.17,54091.32,0.05,33180000,"4,063,500",18529560
4FM,31/12/2014,5.52,-0.34,51416.08,-0.06,35403000,"4,063,500",22430520
4FM,30/09/2014,8.33,-0.17,54878.58,0.06,43102000,"4,063,500",33848955
4FM,30/06/2014,10.02,-0.26,51934.94,-0.01,43844000,"4,063,500",40716270
4FM,31/03/2014,13.57,-0.22,52373.47,0.02,42155000,"4,063,500",55141695
4FM,31/12/2013,17.42,-0.03,51284.25,0.02,40009000,"4,063,500",70786170
4FM,30/09/2013,17.88,-0.03,50301.85,0.12,35716000,"4,063,500",72655380
4FM,30/06/2013,18.45,0.02,44747.79,-0.01,35147000,"4,063,500",74971575
4FM,31/03/2013,18.05,0.07,45147.57,-0.05,42791000,"4,063,500",73346175
4FM,31/12/2012,16.89,0.25,47460.59,0.09,40635000,"4,063,500",68632515
4FM,30/06/2012,14.96,-0.02,40810.88,-0.01,38705000,"4,063,500",60789960
4FM,31/03/2012,15.25,0.21,41267.16,0.1,39929000,"4,063,500",61968375
4FM,31/12/2011,12.58,0.15,37595.44,-0.02,39098000,"4,063,500",51118830
4FM,30/06/2011,12.88,0.1,48414.36,-0.01,37781000,"4,063,500",52337880
