No,open,high,low,close,perc_change,abs_change,vol,Ticker,period
4,8.750,9.250,7.550,7.650,-15.93%,-1.450,"128,102",CCE,30-09-2000
3,11.500,11.750,8.400,9.100,-16.89%,-1.850,"234,678",CCE,30-06-2000
2,8.500,15.950,7.700,10.950,+38.61%,+3.050,"1,006,467",CCE,31-03-2000
1,12.850,13.700,7.700,7.900,,,"177,667",CCE,31-12-1999
112,174.00,179.92,105.88,112.28,-35.37%,-61.46,"19,606,118",CDR,30-06-2022
111,192.88,208.10,150.20,173.74,-9.93%,-19.16,"27,289,400",CDR,31-03-2022
110,190.50,212.00,170.66,192.90,+0.57%,+1.10,"24,125,596",CDR,31-12-2021
109,185.10,206.15,163.20,191.80,+3.66%,+6.78,"25,919,492",CDR,30-09-2021
108,185.46,211.65,146.85,185.02,-0.08%,-0.15,"43,480,792",CDR,30-06-2021
107,268.76,365.96,176.42,185.17,-30.65%,-81.84,"67,838,451",CDR,31-03-2021
106,405.23,451.20,231.82,267.01,-34.35%,-139.68,"61,495,700",CDR,31-12-2020
105,384.43,449.06,341.27,406.69,+5.95%,+22.85,"24,282,099",CDR,30-09-2020
104,275.56,406.00,268.76,383.84,+36.59%,+102.83,"21,580,099",CDR,30-06-2020
103,274.10,326.59,199.45,281.01,+3.44%,+9.34,"31,701,879",CDR,31-03-2020
102,237.27,277.02,223.56,271.67,+14.83%,+35.08,"12,163,363",CDR,31-12-2019
101,212.19,254.37,203.83,236.59,+13.05%,+27.32,"16,663,967",CDR,30-09-2019
100,194.44,226.48,189.70,209.27,+8.16%,+15.79,"20,920,233",CDR,30-06-2019
99,140.66,197.92,137.46,193.48,+37.37%,+52.63,"18,135,195",CDR,31-03-2019
98,182.74,188.05,120.25,140.85,-22.26%,-40.34,"23,513,637",CDR,31-12-2018
97,154.49,215.14,154.00,181.19,+15.76%,+24.67,"18,926,102",CDR,30-09-2018
96,105.35,166.87,104.19,156.52,+47.90%,+50.69,"20,405,240",CDR,30-06-2018
95,94.51,119.37,94.08,105.83,+12.78%,+12.00,"15,269,837",CDR,31-03-2018
94,112.46,123.82,85.23,93.83,-16.56%,-18.63,"33,777,559",CDR,31-12-2017
93,83.23,113.18,75.47,112.46,+35.12%,+29.23,"14,783,293",CDR,30-09-2017
92,71.40,84.03,59.31,83.23,+17.65%,+12.49,"15,073,730",CDR,30-06-2017
91,49.77,74.14,49.01,70.75,+42.15%,+20.98,"13,748,997",CDR,31-03-2017
90,38.76,51.96,36.52,49.77,+30.96%,+11.77,"14,433,301",CDR,31-12-2016
89,26.30,42.43,25.74,38.01,+45.48%,+11.88,"20,461,266",CDR,30-09-2016
88,24.41,26.85,22.82,26.12,+6.62%,+1.62,"12,960,787",CDR,30-06-2016
87,21.12,24.84,19.17,24.50,+16.02%,+3.38,"14,086,253",CDR,31-03-2016
86,25.71,26.22,20.34,21.12,-17.75%,-4.56,"13,368,829",CDR,31-12-2015
85,22.78,26.77,20.99,25.68,+13.24%,+3.00,"19,596,115",CDR,30-09-2015
84,18.77,24.69,18.60,22.67,+20.83%,+3.91,"28,145,159",CDR,30-06-2015
83,16.30,18.88,15.07,18.76,+17.84%,+2.84,"7,250,952",CDR,31-03-2015
82,15.91,17.53,14.60,15.92,+0.67%,+0.11,"7,547,701",CDR,31-12-2014
81,14.54,16.43,13.25,15.82,+8.86%,+1.29,"4,727,425",CDR,30-09-2014
80,14.84,16.27,12.88,14.53,-0.53%,-0.08,"6,704,893",CDR,30-06-2014
79,16.69,17.63,12.36,14.61,-12.66%,-2.12,"18,694,074",CDR,31-03-2014
78,14.15,16.92,12.78,16.72,+18.04%,+2.56,"14,620,699",CDR,31-12-2013
77,8.81,14.46,8.30,14.17,+60.64%,+5.35,"18,119,974",CDR,30-09-2013
76,6.48,9.19,6.02,8.82,+34.64%,+2.27,"9,763,562",CDR,30-06-2013
75,5.92,7.52,5.82,6.55,+10.81%,+0.64,"14,955,332",CDR,31-03-2013
74,4.93,6.20,4.83,5.91,+19.00%,+0.94,"12,787,268",CDR,31-12-2012
73,4.86,5.17,4.00,4.97,+1.56%,+0.08,"10,020,537",CDR,30-09-2012
72,6.66,6.67,4.03,4.89,-25.87%,-1.71,"32,496,055",CDR,30-06-2012
71,5.00,6.64,4.80,6.60,+31.31%,+1.57,"44,691,882",CDR,31-03-2012
70,3.31,5.65,3.118,5.02,+47.21%,+1.61,"57,524,585",CDR,31-12-2011
69,7.13,7.25,3.051,3.41,-52.27%,-3.74,"80,211,713",CDR,30-09-2011
68,7.87,9.42,5.97,7.15,-8.54%,-0.67,"74,514,113",CDR,30-06-2011
67,2.965,8.09,2.899,7.82,+164.52%,+4.86,"154,417,887",CDR,31-03-2011
66,2.908,3.089,2.241,2.956,+1.64%,+0.048,"33,517,460",CDR,31-12-2010
65,1.392,3.42,1.278,2.908,+108.91%,+1.516,"89,669,195",CDR,30-09-2010
64,1.201,1.488,1.077,1.392,+16.80%,+0.200,"18,556,903",CDR,30-06-2010
63,1.268,1.383,1.116,1.192,-3.85%,-0.048,"9,695,408",CDR,31-03-2010
62,1.488,1.64,1.173,1.240,-17.72%,-0.267,"20,978,883",CDR,31-12-2009
61,1.211,1.812,1.192,1.507,+24.42%,+0.296,"34,617,876",CDR,30-09-2009
60,1.011,1.602,0.944,1.211,+23.29%,+0.229,"45,199,555",CDR,30-06-2009
59,1.068,1.135,0.744,0.982,-5.50%,-0.057,"36,012,622",CDR,31-03-2009
58,1.173,1.478,0.601,1.039,-9.92%,-0.114,"69,078,988",CDR,31-12-2008
57,1.488,1.678,0.801,1.154,-23.89%,-0.362,"60,601,551",CDR,30-09-2008
56,1.974,3.72,1.430,1.516,-20.90%,-0.401,"28,892,536",CDR,30-06-2008
55,2.822,3.137,1.764,1.917,-31.86%,-0.896,"5,401,718",CDR,31-03-2008
54,3.43,5.19,2.336,2.813,-16.90%,-0.572,"10,851,177",CDR,31-12-2007
53,2.727,6.20,2.670,3.38,+29.56%,+0.77,"23,248,838",CDR,30-09-2007
52,1.764,3.108,1.583,2.612,+48.91%,+0.858,"24,832,731",CDR,30-06-2007
51,1.793,2.012,1.516,1.754,+1.66%,+0.029,"7,374,804",CDR,31-03-2007
50,1.917,2.527,1.697,1.726,-15.81%,-0.324,"15,856,666",CDR,31-12-2006
49,2.851,3.127,1.955,2.05,-27.61%,-0.78,"8,349,882",CDR,30-09-2006
48,3.108,4.08,2.307,2.832,-7.19%,-0.219,"16,137,834",CDR,30-06-2006
47,2.651,3.53,2.632,3.051,+15.11%,+0.401,"16,031,707",CDR,31-03-2006
46,2.708,3.051,2.527,2.651,+0.73%,+0.019,"7,901,836",CDR,31-12-2005
45,2.927,3.31,2.469,2.632,-8.31%,-0.238,"8,596,302",CDR,30-09-2005
44,3.29,3.33,2.632,2.870,-12.75%,-0.420,"3,552,356",CDR,30-06-2005
43,3.70,3.70,2.984,3.29,-9.21%,-0.33,"5,163,044",CDR,31-03-2005
42,4.19,4.22,3.42,3.62,-13.44%,-0.56,"5,426,021",CDR,31-12-2004
41,4.06,4.44,3.51,4.19,+3.54%,+0.14,"4,672,746",CDR,30-09-2004
40,4.62,5.47,3.73,4.04,-12.58%,-0.58,"10,623,423",CDR,30-06-2004
39,3.18,5.14,3.146,4.62,+47.87%,+1.50,"31,439,370",CDR,31-03-2004
38,3.22,3.58,2.450,3.127,-3.53%,-0.114,"10,635,691",CDR,31-12-2003
37,3.127,4.60,2.984,3.24,+3.03%,+0.10,"21,392,670",CDR,30-09-2003
36,3.146,3.82,2.851,3.146,+1.85%,+0.057,"8,644,093",CDR,30-06-2003
35,2.393,3.37,2.393,3.089,+27.06%,+0.658,"8,194,007",CDR,31-03-2003
34,2.527,3.070,2.326,2.431,-1.54%,-0.038,"6,797,073",CDR,31-12-2002
33,3.42,3.42,2.155,2.469,-29.62%,-1.039,"4,538,500",CDR,30-09-2002
32,3.97,4.02,2.155,3.51,-11.96%,-0.48,"12,679,450",CDR,30-06-2002
31,9.16,9.60,3.95,3.99,-56.09%,-5.09,"10,540,534",CDR,31-03-2002
30,8.76,11.83,8.40,9.08,+3.59%,+0.31,"6,807,656",CDR,31-12-2001
29,9.92,11.43,7.61,8.76,-12.74%,-1.28,"4,857,677",CDR,30-09-2001
28,10.83,11.99,7.33,10.04,-6.97%,-0.75,"15,190,443",CDR,30-06-2001
27,24.02,25.01,9.64,10.79,-56.50%,-14.02,"30,941,019",CDR,31-03-2001
26,29.36,33.18,18.40,24.81,-15.71%,-4.62,"22,057,337",CDR,31-12-2000
25,38.47,39.71,27.04,29.43,-22.94%,-8.76,"12,941,930",CDR,30-09-2000
24,50.58,50.58,26.65,38.20,-24.49%,-12.39,"33,692,801",CDR,30-06-2000
23,17.33,75.88,17.29,50.58,+206.83%,+34.10,"51,292,032",CDR,31-03-2000
22,9.64,16.49,9.16,16.49,+73.95%,+7.01,"18,813,876",CDR,31-12-1999
21,9.40,12.66,8.92,9.48,+2.16%,+0.20,"16,086,926",CDR,30-09-1999
20,7.43,10.24,7.43,9.28,+23.63%,+1.77,"16,269,439",CDR,30-06-1999
19,7.23,8.89,6.71,7.50,+5.78%,+0.41,"23,992,787",CDR,31-03-1999
18,8.45,8.69,6.39,7.09,-21.52%,-1.94,"8,788,038",CDR,31-12-1998
17,14.06,14.06,7.89,9.04,-37.47%,-5.42,"2,795,499",CDR,30-09-1998
16,16.49,18.08,10.87,14.46,-19.19%,-3.43,"2,945,683",CDR,30-06-1998
15,18.68,21.82,16.17,17.89,-5.87%,-1.11,"5,784,130",CDR,31-03-1998
14,22.50,23.74,16.29,19.00,-14.80%,-3.30,"5,696,330",CDR,31-12-1997
13,17.80,25.92,15.69,22.30,+26.09%,+4.61,"5,563,491",CDR,30-09-1997
12,21.31,23.02,17.69,17.69,-22.09%,-5.02,"4,249,968",CDR,30-06-1997
11,9.52,26.73,9.52,22.70,+136.45%,+13.10,"14,782,902",CDR,31-03-1997
10,6.87,9.60,6.87,9.60,+40.64%,+2.77,"8,237,207",CDR,31-12-1996
9,7.89,7.90,6.61,6.83,-13.63%,-1.08,"6,904,248",CDR,30-09-1996
8,5.71,7.90,5.60,7.90,+38.86%,+2.21,"9,293,387",CDR,30-06-1996
7,5.10,6.24,5.10,5.69,+14.37%,+0.71,"6,588,901",CDR,31-03-1996
6,6.44,6.44,4.98,4.98,-21.62%,-1.37,"2,900,600",CDR,31-12-1995
5,6.53,7.47,5.02,6.35,-1.33%,-0.09,"6,559,793",CDR,30-09-1995
4,4.92,8.56,4.92,6.44,+33.66%,+1.62,"4,018,798",CDR,30-06-1995
3,5.45,5.58,4.70,4.82,-2.88%,-0.14,"1,691,404",CDR,31-03-1995
2,5.98,6.66,4.48,4.96,-8.77%,-0.48,"3,154,372",CDR,31-12-1994
1,8.05,10.76,5.14,5.43,,,"3,862,685",CDR,30-09-1994
31,24.2,25.0,20.0,20.5,-15.29%,-3.7,"30,610",CDL,30-06-2022
30,28.8,28.8,18.2,24.2,-14.79%,-4.2,"40,877",CDL,31-03-2022
29,23.1,28.9,20.2,28.4,+24.18%,+5.5,"105,054",CDL,31-12-2021
28,20.3,23.9,17.9,22.9,+15.64%,+3.1,"59,885",CDL,30-09-2021
27,16.4,21.7,15.5,19.8,+23.39%,+3.7,"62,935",CDL,30-06-2021
26,15.5,17.8,15.0,16.0,+4.59%,+0.7,"68,461",CDL,31-03-2021
25,11.1,17.6,10.5,15.3,+41.99%,+4.5,"116,217",CDL,31-12-2020
24,11.5,12.2,10.2,10.8,-8.61%,-1.0,"60,739",CDL,30-09-2020
23,10.6,14.2,9.47,11.8,+11.25%,+1.2,"159,821",CDL,30-06-2020
22,21.0,21.0,8.42,10.6,-48.93%,-10.2,"377,415",CDL,31-03-2020
21,16.7,21.7,16.1,20.8,+24.34%,+4.1,"106,393",CDL,31-12-2019
20,22.6,23.0,16.1,16.7,-24.10%,-5.3,"96,675",CDL,30-09-2019
19,24.6,27.6,19.7,22.0,-12.32%,-3.1,"149,679",CDL,30-06-2019
18,20.5,25.2,20.3,25.1,+26.18%,+5.2,"66,475",CDL,31-03-2019
17,17.9,23.2,17.2,19.9,+13.10%,+2.3,"83,966",CDL,31-12-2018
16,21.3,21.8,16.5,17.6,-17.26%,-3.7,"112,306",CDL,30-09-2018
15,25.5,27.9,17.5,21.3,-16.55%,-4.2,"149,451",CDL,30-06-2018
14,20.4,27.7,19.6,25.5,+24.70%,+5.1,"129,691",CDL,31-03-2018
13,23.1,25.7,19.4,20.4,-8.69%,-1.9,"58,135",CDL,31-12-2017
12,26.5,26.5,19.9,22.4,-15.47%,-4.1,"61,595",CDL,30-09-2017
11,23.0,27.9,22.7,26.5,+15.02%,+3.5,"45,561",CDL,30-06-2017
10,21.3,23.1,17.3,23.0,+10.40%,+2.2,"206,902",CDL,31-03-2017
9,25.1,26.4,19.6,20.9,-16.98%,-4.3,"123,584",CDL,31-12-2016
8,23.4,27.4,22.3,25.1,+9.00%,+2.1,"143,520",CDL,30-09-2016
7,18.3,26.0,16.8,23.1,+25.20%,+4.6,"423,654",CDL,30-06-2016
6,18.1,18.6,13.2,18.4,+1.62%,+0.3,"169,325",CDL,31-03-2016
5,12.8,18.4,12.7,18.1,+42.69%,+5.4,"284,038",CDL,31-12-2015
4,11.3,12.8,11.1,12.7,+9.70%,+1.1,"242,972",CDL,30-09-2015
3,13.5,13.7,11.0,11.6,-13.14%,-1.8,"209,018",CDL,30-06-2015
2,13.3,14.4,11.2,13.3,+1.18%,+0.2,"275,626",CDL,31-03-2015
1,11.3,14.8,11.0,13.2,,,"285,188",CDL,31-12-2014
47,9.40,12.25,8.00,9.96,+3.75%,+0.36,"373,947",CPD,30-06-2022
46,7.05,11.30,6.40,9.60,+34.27%,+2.45,"573,911",CPD,31-03-2022
45,7.30,7.55,6.65,7.15,-2.05%,-0.15,"188,347",CPD,31-12-2021
44,14.00,15.10,6.35,7.30,-47.10%,-6.50,"460,400",CPD,30-09-2021
43,7.40,15.50,7.00,13.80,+86.49%,+6.40,"852,860",CPD,30-06-2021
42,6.35,8.25,6.20,7.40,+16.54%,+1.05,"38,374",CPD,31-03-2021
41,6.60,7.20,6.10,6.35,-11.19%,-0.80,"20,265",CPD,31-12-2020
40,6.50,7.55,6.30,7.15,+4.38%,+0.30,"47,250",CPD,30-09-2020
39,5.00,11.00,4.50,6.85,+37.00%,+1.85,"196,133",CPD,30-06-2020
38,6.45,6.60,5.00,5.00,-22.48%,-1.45,"38,272",CPD,31-03-2020
37,6.10,6.60,5.70,6.45,+6.61%,+0.40,"81,837",CPD,31-12-2019
36,6.30,6.30,5.35,6.05,-2.42%,-0.15,"66,801",CPD,30-09-2019
35,6.55,6.55,5.80,6.20,-5.34%,-0.35,"4,566",CPD,30-06-2019
34,5.35,9.05,4.90,6.55,+31.00%,+1.55,"65,002",CPD,31-03-2019
33,8.05,8.05,4.50,5.00,-37.89%,-3.05,"100,370",CPD,31-12-2018
32,6.50,8.50,6.20,8.05,+18.38%,+1.25,"54,771",CPD,30-09-2018
31,7.20,7.50,6.40,6.80,-5.56%,-0.40,"73,803",CPD,30-06-2018
